CRS Sector Code (first 3 digits),Country Tracker Sectors
111,Education
112,Education
113,Education
114,Education
121,Health
122,Health
130,Health
140,Water and sanitation
151,Governance and security
152,Governance and security
160,Other social services
210,Infrastructure
220,Infrastructure
230,Infrastructure
240,Banking and business
250,Banking and business
311,Agriculture and food security
312,Agriculture and food security
313,Agriculture and food security
321,Industry and trade
322,Industry and trade
323,Industry and trade
331,Industry and trade
332,Industry and trade
410,Environment
430,Other
910,Other
510,General Budget Support
520,Agriculture and food security
530,Other
600,Debt relief
720,Humanitarian
730,Humanitarian
740,Humanitarian
930,Other
998,Other